Detection method: Serial
Clock = 572368319.000000, Chrono = 630752219, TimeR = 631.000000
Clock = 572368325.000000, Chrono = 630752222, TimeR = 631.000000

GPU use = 0
clockPerSec,1000000
FPS=0.873563
transTime, feedNetTime, netTime, transClock, feedNetClock, netClock
10737, 18, 1178190, 10437, 22, 1077202
10611, 16, 1178539, 10399, 20, 1079280
10536, 16, 1186734, 10373, 20, 1078980
17435, 16, 1167368, 11026, 21, 1076891
10556, 16, 1169875, 10440, 20, 1078364
10389, 16, 1178268, 10385, 20, 1078540
10461, 16, 1177932, 10356, 20, 1077533
10536, 15, 1169098, 10250, 18, 1076727
10501, 16, 1177209, 10391, 21, 1079153
10480, 16, 1187956, 10414, 21, 1078559
17589, 15, 1170487, 10821, 20, 1077326
10524, 32, 1168597, 10407, 36, 1077093
10475, 16, 1177330, 10374, 20, 1078702
10668, 16, 1187022, 10569, 19, 1077383
10417, 17, 1169227, 10216, 20, 1076465
10374, 15, 1177480, 10371, 20, 1078922
10532, 15, 1177665, 10432, 19, 1077574
17664, 16, 1170665, 11056, 20, 1076699
11105, 16, 1179552, 11004, 21, 1078931
10775, 16, 1180488, 10675, 20, 1078136
10414, 16, 1182761, 10254, 20, 1079104
18001, 16, 1173230, 10892, 21, 1077855
10389, 16, 1184041, 10369, 20, 1079811
10527, 17, 1185762, 10213, 21, 1077117
10349, 16, 1182363, 10346, 20, 1078206
11233, 16, 1171273, 10995, 20, 1078873
10752, 15, 1176000, 10590, 19, 1077929
10547, 17, 1166598, 10333, 21, 1077727
10528, 16, 1173404, 10525, 19, 1080074
10640, 16, 1173101, 10532, 21, 1078148
11717, 41, 1166509, 10597, 20, 1078142
10383, 16, 1173822, 10358, 20, 1079740
10369, 16, 1173395, 10366, 19, 1078106
10613, 15, 1164902, 10312, 19, 1077507
